TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""STD-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_std_x"",""pattern"": ""std-dev: X = (-?[0-9.]+), Y = -?[0-9.]+, Z = -?[0-9.]+, T = -?[0-9.]+""}",,,,,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""STD-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_std_y"",""pattern"": ""std-dev: X = -?[0-9.]+, Y = (-?[0-9.]+), Z = -?[0-9.]+, T = -?[0-9.]+""}",,,,,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""STD-FS8g_ODR100HZ_Zup"",""subsubtestname"": ""accel_only_std_z"",""pattern"": ""std-dev: X = -?[0-9.]+, Y = -?[0-9.]+, Z = (-?[0-9.]+), T = -?[0-9.]+""}",,,,,
,Common:regexParseNumber,,(accel_only_test_sec_resp),,,,"{""subtestname"": ""ODR-FS8g_ODR100HZ"",""subsubtestname"": ""accel_only_odr"",""pattern"": ""calculated odr: (-?[0-9.]+)Hz""}",,,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensorreg -s accel --dump",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --turnoff",,
Accel_Only_Test,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --init",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subtestname"": ""Interrupt_Line_Conn_Test"",""subsubtestname"": ""accel_connectivity"", ""expect"": ""passed"",""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --conntest",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --turnoff",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --init",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
,Common:sendCmdAndCreateRecord,,,(accel_only_test_resp),10,,"{""subtestname"": ""Accel_Only_Test"",""subsubtestname"": ""accel_only_test"",""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --exectest selftest",,
,Common:checkExpectFromLastResponse,,(accel_only_test_resp),{accel_selftest_result},,,"{""subtestname"": ""Auto_Selftest"",""subsubtestname"": ""accel_selftest"", ""expect"": ""PASS""}",,,,,
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_x_pos"",""pattern"": ""pos-response: x = (-?[0-9]+), y = -?[0-9]+, z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_y_pos"",""pattern"": ""pos-response: x = -?[0-9]+, y = (-?[0-9]+), z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_z_pos"",""pattern"": ""pos-response: x = -?[0-9]+, y = -?[0-9]+, z = (-?[0-9]+)""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_x_neg"",""pattern"": ""neg-response: x = (-?[0-9]+), y = -?[0-9]+, z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_y_neg"",""pattern"": ""neg-response: x = -?[0-9]+, y = (-?[0-9]+), z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_z_neg"",""pattern"": ""neg-response: x = -?[0-9]+, y = -?[0-9]+, z = (-?[0-9]+)""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_x_symerr"",""pattern"": ""SymErr-response: x = (-?[0-9]+), y = -?[0-9]+, z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_y_symerr"",""pattern"": ""SymErr-response: x = -?[0-9]+, y = (-?[0-9]+), z = -?[0-9]+""}",,,,,accel_selftest_result==FAIL
,Common:regexParseNumber,,(accel_only_test_resp),,,,"{""subsubtestname"": ""accel_selftest_z_symerr"",""pattern"": ""SymErr-response: x = -?[0-9]+, y = -?[0-9]+, z = (-?[0-9]+)""}",,,,,accel_selftest_result==FAIL
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --turnoff",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
accel_only_test_fail,Common:sendCmdAndCreateRecord,,,,10,,"{""subtestname"": ""Accel_Only_Test"",""subsubtestname"": ""accel_only_test_fail"",""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --exectest selftest_manual",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --turnoff",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
accel_normal_gyro_low_power_duty_cycle_test,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel,gyro --init",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 200",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set lpm true",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set lpm_duty_cycle 12.5",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set rate 800",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set rate 800",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set dynamic_range 8",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set dynamic_range 2000",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --sample 500ms --stats",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --sample 500ms --stats",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set lpm false",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel,gyro --turnoff",,
accel_normal_gyro_galp_test,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel,gyro --init",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 200",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set galp true",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set rate 200",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set rate 200",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --set dynamic_range 8",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set dynamic_range 2000",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --sample 500ms --stats",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --sample 500ms --stats",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel gyro --set galp false",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel,gyro --turnoff",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
fail_runcommand,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --turnoff",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"wait 20",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""dutPluginName"":""dimension_dut""}",,,"sensor --sel accel --exectest selftest_manual",,
