TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Pairing_Stockholm"", ""expect"": ""CHECKPOINT END: %(null%):%[0x0636%] pair_stockholm"",""log_device"":""restore""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Fixing_up/var"", ""expect"": ""Fixing up /var"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,,,,"{""subsubtestname"": ""Sending_FDR_user_info"", ""expect"": ""Sending FDR user info"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,Y,,"[stopTestFlag_restore_check],[stopTestInfo_restore_check]",,,"{""subsubtestname"": ""Restore_successful"", ""expect"": ""Restore successful"",""log_device"":""system""}",,,,,
,Tech:restore_process_check,,,"[stopTestFlag_restore_check],[stopTestInfo_restore_check]",,,"{""subsubtestname"": ""Restore_successful"", ""expect"": ""Successfully restored"",""log_device"":""restore_host""}",,,,,
,Common:parseFromBuffer,,,,,,"{""testname"":""System"",""subtestname"":""Enter_DFU-Initial"",""subsubtestname"": ""ChipRev_Check"", ""pattern"": ""chipRev\\s([A-Z0-9]+)"",""usedbuffer"":""restore_uart_log"",""expect"":""B0""}",,,,,
,Common:parseFromLog,,,,,,"{""subsubtestname"": ""OS_Version"", ""pattern"": ""iOS\\s+=\\s+(\\w+)"",""attribute"":""OS_Version"",""log_device"":""system""}",,,,,
,Common:parseFromLog,,,,,,"{""subsubtestname"": ""Lynx_ID"", ""pattern"": ""Success lcrt:([0-9A-Za-z]+)"",""attribute"":""Lynx_ID"",""log_device"":""restore""}",,,,,
,Common:parseFromLog,,,,,,"{""subsubtestname"": ""SIK"", ""pattern"": ""x-fdr-client-id-sik:\\s+(sik\\S+)"",""attribute"":""SIK"",""log_device"":""restore""}",,,,,
,Common:parseFromLog,,,,,,"{""subsubtestname"": ""ACE2_UUID"", ""pattern"": ""UUID=([0-9A-Za-z]+)&"",""attribute"":""ACE2_UUID"",""log_device"":""restore""}",,,,,
Restore_check_SOF,Common:checkStopTestFlag,,"[stopTestFlag_Kernel_panic],[Kernel_panic_Ret]",,,,,,,,,
,Common:checkStopTestFlag,,"[stopTestFlag_restore_check],[stopTestInfo_restore_check]",,,,,,,,,
