TestName,Technology,Disable,Production,Audit,Thread,Policy,Loop,Sample,SOF,Condition,Notes
Transition_Diags_VBAT4V3_1,Process,,Y,,,,,Process_Transition_Diags_VBAT4V3_1,,,
Switchover_VBUS5V_NoOrionPWR,Power,,Y,,,,,Transition_Switchover_VBUS5V_NoOrionPWR,,,
Button_Sera,PMU,,Y,,,,,PMU_Button_Sera,,,
ProjectCode,DUTInfo,,Y,,,,,DUTInfo_ProjectCode,,,
Site,DUTInfo,,Y,,,,,DUTInfo_Site,,,
BoardID,DUTInfo,,Y,,,,,DUTInfo_Info_BoardID,,,
BootConfig,DUTInfo,,Y,,,,,DUTInfo_Info_BootConfig,,,
BoardRevision,DUTInfo,,Y,,,,,DUTInfo_Info_BoardRevision,,,
Info,SOC,,Y,,,,,SOC_Info,,,
Info_Sera,PMU,,Y,,,,,PMU_Info_Sera,,,
Info_Simetra,PMU,,Y,,,,,PMU_Info_Simetra,,,
Info_Potomac,BatteryCharger,,Y,,,,,BatteryCharger_Info_Potomac,,,
TestSetup,Fixture,,Y,,,,,Fixture_TestSetup,,,
AceOTPProgram,USBC,,Y,,,,,USBC_AceOTPProgram,,,
GPMLogic_HallSensors_Untriggered,Mic,,Y,,,,,Mic_GPMLogic_HallSensors,,,
GPMLogic_HallSensors_Triggered,Mic,,Y,,,,,Mic_GPMLogic_HallSensors,,,
GPMLogic_HallSensors_Untriggered_1,Mic,,Y,,,,,Mic_GPMLogic_HallSensors_1,,,
VoltageCheck_Active,Power,,Y,,,,,Power_VoltageCheck_Active,,,
BoostEfficiency_VBAT4V3,Touch,,Y,,,,,Touch_BoostEfficiency_VBAT4V3,,,
BoostEfficiency_VBAT3V7_VBUSOff,Touch,,Y,,,,,Touch_BoostEfficiency_VBAT3V7_VBUSOFF,,,
Backlight_MinBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,Display_Backlight_MinBrightness_PWMMode_VBAT4V3,,,
Backlight_MinBrightness_PWMMode_VBAT3V2,Display,,Y,,,,,Display_Backlight_MinBrightness_PWMMode_VBAT3V2,,,
Backlight_MinBrightness_PWMMode_VBAT4V3_1,Display,,Y,,,,,Display_Backlight_MinBrightness_PWMMode_VBAT4V3_1,,,
Backlight_MedBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,Display_Backlight_MedBrightness_PWMMode_VBAT4V3,,,
Backlight_MaxBrightness_PWMMode_VBAT4V3,Display,,Y,,,,,Display_Backlight_MaxBrightness_PWMMode_VBAT4V3,,,
Backlight_MaxBrightness_PWMMode_VBAT3V2,Display,,Y,,,,,Display_Backlight_MaxBrightness_PWMMode_VBAT3V2,,,
Backlight_MaxBrightness_PWMMode_VBAT4V3_1,Display,,Y,,,,,Display_Backlight_MaxBrightness_PWMMode_VBAT4V3_1,,,
ContactContamination_PWR_GND_150K_4uA,Orion,,Y,,,,,Orion_ContactContamination_PWR_GND_150K_4uA,,,
ContactContamination_Data_GND_150K_4uA,Orion,,Y,,,,,Orion_ContactContamination_Data_GND_150K_4uA,,,
ContactContamination_Data_PWR_150K_4uA,Orion,,Y,,,,,Orion_ContactContamination_Data_PWR_150K_4uA,,,
ConsumerModeLSAIDcomms_PPVBUS_ORION_5V,Orion,,Y,,,,,Orion_ConsumerModeLSAIDcomms_PPVBUS_ORION_5V,,,
GPIOCheck_1,PMU,,Y,,,,,Orion_GPIOCheck_1,,,
ConsumerModeLSAIDcomms_PPVBUS_ORION_5V_1,Orion,,Y,,,,,Orion_ConsumerModeLSAIDcomms_PPVBUS_ORION_5V_1,,,
SwitchOver_PPVBUS_ORION_5V_NoVBUS,Power,,Y,,,,,Orion_SwitchOver_PPVBUS_ORION_5V_NoVBUS,,,
ConsumerModeADCRead_PPVBUS_ORION_5V,Orion,,Y,,,,,Orion_Consumer_Mode_ADCRead,,,
ConsumerModeCharging_PPVBUS_ORION_5V1A,Orion,,Y,,,,,Orion_Consumer_Mode_ADCRead,,,
ConsumerModeCharging_PPVBUS_ORION_9V3A,Orion,,Y,,,,,Orion_Consumer_Mode_Charging,,,
Switchover_PPVBUS_ORION_9V_NoVBUS,Power,,Y,,,,,Orion_Consumer_Mode_Charging,,,
ConsumerModeCharging_PPVBUS_ORION_9V3A_1,Orion,,Y,,,,,Orion_Consumer_Mode_Charging,,,
Switchover_PPVBUS_ORION_9V_VBUS5V,Power,,Y,,,,,Power_Switchover_PPVBUS_ORION_9V_VBUS5V,,,
ProviderModeLSAIDcomms_Boost5V,Orion,,Y,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,,,
ProviderModeiLimit_Boost5V_CVEload0A,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
ProviderModeiLimit_Boost5V_CVEload50mA,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
ProviderModeiLimit_Boost5V_CVEload250mA,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
ProviderModeiLimit_Boost5V_CVEload500mA,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
ProviderModeiLimit_Boost5V_CVEload1000mA,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
ProviderModeiLimit_Boost5V_CVEload2000mA,Orion,,Y,,,,,Orion_Provider_Mode_iLimit,,,
BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Orion,,Y,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,,,
ProviderModeOCP_Boost5V_CCEload2000mA,Orion,,Y,,,,,Orion_Provider_Mode_DCR,,,
BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Orion,,Y,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,,,
ProviderModeDCR_Boost5V_CCEload1500mA,Orion,,Y,,,,,Orion_Consumer_Mode_HSAID_COMMS,,,
AdcRead_IsolateMode_VBUS0V,Orion,,Y,,,,,Orion_Consumer_Mode_HSAID_COMMS,,,
ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,Orion,,Y,,,,,Orion_Consumer_Mode_HSAID_COMMS,,,
FrequencyCheck,PMU,,Y,,,,,PMU_FrequencyCheck,,,
FrequencyCheck_1,SOC,,Y,,,,,PMU_FrequencyCheck,,,
BatteryChargeStatus_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_BatteryChargeStatus_VBUS5V,,,
BrickConnectStatus_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_BrickConnectStatus_VBUS5V,,,
Button_Sera_HoldKey_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
Button_Sera_VolumeUp_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
Button_Sera_VolumeDown_PullDown,PMU,,Y,,,,,PMU_Button_Sera_PullDown,,,
BatteryTemperatureSense_Normal,BatteryCharger,,Y,,,,,BatteryCharger_Battery_Temperature_Sense,,,
BatteryTemperatureSense_Hot,BatteryCharger,,Y,,,,,BatteryCharger_Battery_Temperature_Sense,,,
BatteryTemperatureSense_Cold,BatteryCharger,,Y,,,,,BatteryCharger_Battery_Temperature_Sense,,,
BatteryTemperatureSense_Normal_1,BatteryCharger,,Y,,,,,BatteryCharger_Battery_Temperature_Sense,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOff,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTOn_BBOff,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIOn_BTOff_BBOn,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOn,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIOn_BTOff_BBOn_1,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTOff_BBOn,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS_WIFIBTBBOff_1,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
CurrentCheck_Battery_VBAT4V3_NoVBUS,Power,,Y,,,,,Power_CurrentCheck_Battery,,,
TrickleCharge_VBUS5V_VBAT2V8,BatteryCharger,,Y,,,,,BatteryCharger_Trickle_Charge,,,
TrickleCharge_VBUS5V_VBAT3V2,BatteryCharger,,Y,,,,,BatteryCharger_Trickle_Charge,,,
ChargeModeThreshold_VBUS5V_IBATT2000mA,BatteryCharger,,Y,,,,,BatteryCharger_Charge_Mode_Threshold,,,
ChargeModeThreshold_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_Charge_Mode_Threshold,,,
StopCharge_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_Stop_Charge,,,
BatteryRechargeThreshold_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_Battery_Recharge_Threshold,,,
Temperature,SOC,,Y,,,,,Temperature,,,
Temperature_Sera,PMU,,Y,,,,,Temperature,,,
Temperature_Simetra,PMU,,Y,,,,,Temperature,,,
IbusLimitCal_PdSink_CVT_CC_VBAT3V8_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_Ibus_Limit_Cal,,,
IbusLimitCal_PdSink_CVT_CC_VBAT3V8_VBUS9V,BatteryCharger,,Y,,,,,BatteryCharger_Ibus_Limit_Cal,,,
IbusLimitCal_PdSink_CVT_CC_VBAT3V8_VBUS12V,BatteryCharger,,Y,,,,,BatteryCharger_Ibus_Limit_Cal,,,
IbusLimitCal_PdSink_CVT_CC_VBAT3V8_VBUS15V,BatteryCharger,,Y,,,,,BatteryCharger_Ibus_Limit_Cal,,,
BuckBoostEfficiency_VBAT4V35_PPVBUS_PROT_4V25,BatteryCharger,,Y,,,,,BatteryCharger_BuckBoost_Efficiency,,,
BoostEfficiency_VBAT3V2_VBUS5V,BatteryCharger,,Y,,,,,BatteryCharger_BoostEfficiency_VBAT3V2_VBUS5V,,,
IbattLimit_Constant_I_VBAT3V9_VBUS15V,BatteryCharger,,Y,,,,,BatteryCharger_Ibatt_Limit,,,
LDCM_Initial,USBC,,Y,,,,,USBC_LDCM_Initial,,,
LDCM_MUX_Off,USBC,,Y,,,,,USBC_LDCM_MUX_Off,,,
LDCM_ZREF_110Hz,USBC,,Y,,,,,USBC_LDCM_ZREF_110Hz,,,
LDCM_Trace_Open,USBC,,Y,,,,,USBC_LDCM_Trace_Open,,,
LDCM_Trace_1nF,USBC,,Y,,,,,USBC_LDCM_Trace_1nF,,,
LDCM_Trace_2nF,USBC,,Y,,,,,USBC_LDCM_Trace_2nF,,,
LDCM_Trace_3nF,USBC,,Y,,,,,USBC_LDCM_Trace_3nF,,,
LDCM_Trace_1M,USBC,,Y,,,,,USBC_LDCM_Trace_1M,,,
LDCM_Trace_1M5,USBC,,Y,,,,,USBC_LDCM_Trace_1M5,,,
LDCM_Trace_300K1nF5,USBC,,Y,,,,,USBC_LDCM_Trace_300K1nF5,,,
LDCM_Trace_10K200nF,USBC,,Y,,,,,USBC_LDCM_Trace_10K200nF,,,
LDCM_AceSBU1_Open,USBC,,Y,,,,,USBC_LDCM_AceSBU1_Open,,,
LDCM_AceSBU1_1nF,USBC,,Y,,,,,USBC_LDCM_AceSBU1_1nF,,,
LDCM_AceSBU1_2nF,USBC,,Y,,,,,USBC_LDCM_AceSBU1_2nF,,,
LDCM_AceSBU1_3nF,USBC,,Y,,,,,USBC_LDCM_AceSBU1_2nF,,,
LDCM_AceSBU1_1M,USBC,,Y,,,,,USBC_LDCM_AceSBU1_1M,,,
LDCM_AceSBU1_1M5,USBC,,Y,,,,,USBC_LDCM_AceSBU1_1M5,,,
LDCM_AceSBU1_300K1nF5,USBC,,Y,,,,,USBC_LDCM_AceSBU1_300K1nF5,,,
LDCM_AceSBU1_10K200nF,USBC,,Y,,,,,USBC_LDCM_AceSBU1_10K200nF,,,
LDCM_AceSBU2_Open,USBC,,Y,,,,,USBC_LDCM_AceSBU2_Open,,,
LDCM_AceSBU2_1nF,USBC,,Y,,,,,USBC_LDCM_AceSBU2_1nF,,,
LDCM_AceSBU2_2nF,USBC,,Y,,,,,USBC_LDCM_AceSBU2_2nF,,,
LDCM_AceSBU2_3nF,USBC,,Y,,,,,USBC_LDCM_AceSBU2_3nF,,,
LDCM_AceSBU2_1M,USBC,,Y,,,,,USBC_LDCM_AceSBU2_1M,,,
LDCM_AceSBU2_1M5,USBC,,Y,,,,,USBC_LDCM_AceSBU2_1M5,,,
LDCM_AceSBU2_300K1nF5,USBC,,Y,,,,,USBC_LDCM_AceSBU2_300K1nF5,,,
LDCM_AceSBU2_10K200nF,USBC,,Y,,,,,USBC_LDCM_AceSBU2_10K200nF,,,
LDCM_Loopback,USBC,,Y,,,,,USBC_LDCM_Loopback,,,
LDCM_MUX_Off_1,USBC,,Y,,,,,USBC_LDCM_MUX_Off_1,,,
LDCM_Trace_Default,USBC,,Y,,,,,USBC_LDCM_Trace_Default,,,
LDCM_Trace_OVP5V,USBC,,Y,,,,,USBC_LDCM_Trace_OVP5V,,,
LDCM_Trace_OVP0V,USBC,,Y,,,,,USBC_LDCM_Trace_OVP0V,,,
LDCM_Trace_OVP17V,USBC,,Y,,,,,USBC_LDCM_Trace_OVP17V,,,
LDCM_Trace_OVP0V_1,USBC,,Y,,,,,USBC_LDCM_Trace_OVP0V_1,,,
LDCM_Trace_Default_1,USBC,,Y,,,,,USBC_LDCM_Trace_Default_1,,,
LDCM_End,USBC,,Y,,,,,USBC_LDCM_End,,,
LDCM_Initial_CC1Enabled_VBUSOn,USBC,,Y,,,,,USBC_LDCM_Initial_CC1Enabled_VBUSOn,,,
LDCM_CC1Disabled_VBUSOff,USBC,,Y,,,,,USBC_LDCM_CC1Disabled_VBUSOff,,,
LDCM_CC1Enabled_VBUSOn,USBC,,Y,,,,,USBC_LDCM_CC1Enabled_VBUSOn,,,
FR_DmicC3_PDM1KHz,Mic,,Y,,,,,Mic_FR_Dmic,,,
FR_DmicFHC_PDM1KHz,Mic,,Y,,,,,Mic_FR_Dmic_FHC,,,
Info_Boost,Speaker,,Y,,,,,Speaker_Info_Boost_Test,,,
Info_Boost_Master,Speaker,,Y,,,,,Speaker_Info_Boost_Master,,,
Info_Boost_1,Speaker,,Y,,,,,Speaker_Info_Boost_1,,,
BoostOperatingState_Master_IDLE,Speaker,,Y,,,,,Speaker_Info_Boost_Master_IDEL,,,
Info_Boost_2,Speaker,,Y,,,,,Speaker_Info_Boost_2,,,
Info_Boost_Master_1,Speaker,,Y,,,,,Speaker_Info_Boost_Master_1,,,
Info_Boost_3,Speaker,,Y,,,,,Speaker_Info_Boost_3,,,
AmpIVSense_CNWoofer_Info,Speaker,,Y,,,,,Speaker_AmpIVSense_CNWoofer_Info,,,
AmpIVSense_CNWoofer_IDLE_Measurement,Speaker,,Y,,,,,Speaker_AmpIVSense_CNWoofer_IDLE_Measurement,,,
AmpIVSense_FHWoofer_Info,Speaker,,Y,,,,,Speaker_AmpIVSense_FHWoofer_Info,,,
AmpIVSense_FHWoofer_IDLE_Measurement,Speaker,,Y,,,,,Speaker_AmpIVSense_FHWoofer_IDLE_Measurement,,,
AmpIVSense_CNWoofer_4R_VBAT4V3,Speaker,,Y,,,,,Speaker_AmpIVSense_CN,,,
AmpIVSense_FHWoofer_4R_VBAT4V3,Speaker,,Y,,,,,Speaker_AmpIVSense_FH,,,
AmpIVSense_CNWoofer_4R_VBAT4V3_1,Speaker,,Y,,,,,Speaker_AmpIVSense_CN_1,,,
AmpIVSense_FHWoofer_4R_VBAT4V3_1,Speaker,,Y,,,,,Speaker_AmpIVSense_FH_1,,,
BoostBrownoutThreshold_Master,Speaker,,Y,,,,,Speaker_BoostBrownoutThreshold_Master,,,
BoostCTRL_CNWooferToMaster_IDLE,Speaker,,Y,,,,,Speaker_BoostCTRL_CN_IDEL,,,
BoostCTRL_CNWooferToMaster_TONE,Speaker,,Y,,,,,Speaker_BoostCTRL_CN_TONE,,,
BoostCTRL_FHWooferToMaster_IDLE,Speaker,,Y,,,,,Speaker_BoostCTRL_FH_IDEL,,,
BoostCTRL_FHWooferToMaster_TONE,Speaker,,Y,,,,,Speaker_BoostCTRL_FH_TONE,,,
BoostIRQCheck_Master_VBAT4V3,Speaker,,Y,,,,,Speaker_BoostIRQCheck_Master_VBAT4V3,,,
AmpIVSense_CNWoofer_IRQCheck_MUTE,Speaker,,Y,,,,,Speaker_AMP_IRQ_Check,,,
AmpIVSense_FHWoofer_IRQCheck_MUTE,Speaker,,Y,,,,,Speaker_AMP_IRQ_Check,,,
AmpIVSense_FHWoofer_IRQCheck,Speaker,,Y,,,,,Speaker_AMP_IRQ_Check,,,
AmpIVSense_CNWoofer_IRQCheck,Speaker,,Y,,,,,Speaker_AMP_IRQ_Check,,,
Discharge_SpeakerBoost,Power,,Y,,,,,Power_Discharge_SpeakerBoost,,,
PerfState_VBUSOff_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State,,,
PerfState_State0_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State0,,,
PerfState_State1_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State1,,,
PerfState_State2_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State2,,,
PerfState_State3_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State3,,,
PerfState_State4_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State4,,,
PerfState_State5_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State5,,,
PerfState_State6_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State6,,,
PerfState_State7_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State7,,,
PerfState_State8_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State8,,,
PerfState_State9_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State9,,,
PerfState_State10_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State10,,,
PerfState_State11_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State11,,,
PerfState_State12_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State12,,,
PerfState_State13_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State13,,,
PerfState_State14_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State14,,,
PerfState_State15_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State15,,,
PerfState_State16_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State16,,,
PerfState_State17_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State17,,,
PerfState_State18_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State18,,,
PerfState_State19_VBAT4V3,SOC,,Y,,,,,SOC_PerfState_State19,,,
CurrentCheck_Hibernation,Power,,Y,,,,,Power_CurrentCheck_Hibernation,,,
VoltageCheck_Hibernation,Power,,Y,,,,,Power_VoltageCheck_Hibernation,,,
VoltageCheck_Wakeup,Power,,Y,,,,,Power_VoltageCheck_Wakeup,,,
Transition_Diags_WakeUp_VBAT4V3_VBUS5V,Process,,Y,,,,,Process_Transition_Diags_WakeUp_VBAT4V3_VBUS5V,,,
USB2.0DataTransfer_TOP_PdSourceCC1,USBC,,Y,,,,,USBC_USB2_Data_Transfer_TOP,,,
USB2.0DataTransfer_BOT_PdSourceCC2,USBC,,Y,,,,,USBC_USB2_Data_Transfer_BOT,,,
USB_SSPresence_Pair1_PdSourceSS,USBC,,Y,,,,,USBC_USB_SSPresence_Pair1,,,
PdSource_VBUS_CREload1A5_CC1,USBC,,Y,,,,,,,,
BoostEfficiency_Ace_PdSource_VBATT4V3_CCEload0mA,USBC,,Y,,,,,,,,
BoostEfficiency_Ace_PdSource_VBATT4V3_CCEload1A5,USBC,,Y,,,,,,,,
USB_SSPresence_Pair2_PdSourceSS,USBC,,Y,,,,,USBC_USB_SSPresence_Pair2,,,
PdSource_VCON_CC1_CCEload400mA,USBC,,Y,,,,,USBC_PdSource_VCON_CC1,,,
PdSource_VCON_CC2_CC450mA_VBUS_CR1A5,USBC,,Y,,,,,USBC_PdSource_VCON_CC2,,,
I2C_Connectivity_Check,SOC,,Y,,,,,SOC_I2C_Connectivity_Check,,,
IbusLimitCal_PdSink_HCCM_CC_VBAT3V9_VBUS5V3A,BatteryCharger,,Y,,,,,BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT3V9_VBUS5V3A,,,
IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS5V3A,BatteryCharger,,Y,,,,,BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS5V3A,,,
IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS12V3A,BatteryCharger,,Y,,,,,BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS12V3A,,,
IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS15V2A5,BatteryCharger,,Y,,,,,BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS15V2A5,,,
Syscfg_SanityCheck_CBAT,BatteryCharger,,Y,,,,,BatteryCharger_Syscfg_SanityCheck_CBAT,,,
GPIOCheck_2,PMU,,Y,,,,,PMU_GPIOCheck_2,,,
GPIOCheck_3,Touch,,Y,,,,,Touch_GPIOCheck,,,
GPIOCheck_4,PMU,,Y,,,,,PMU_GPIOCheck_4,,,
GPIOCheck_5,Mesa,,Y,,,,,Mesa_GPIOCheck,,,
GPIOCheck_6,SOC,,Y,,,,,SOC_GPIOCheck,,,
VbusDetect_VBUS4V5,USBC,,Y,,,,,USBC_VbusDetect_VBUS4V5,,,
FinishProcessControl,Process,,Y,,,,,,,,
CB_1,Process,,Y,,,,,Process_CB_1,,,
CurrentCheck_ShutDown,Power,,Y,,,,,Power_ShutDown,,,
Reset,Fixture,,Y,,,,,Fixture_Reset,,,
Discharge_End,Power,,Y,,,,,Power_Discharge_End,,,
VoltageCheck_Safety_End_VBAT4V3,Power,,Y,,,,,System_VoltageCheck_Safety_End_VBAT4V3,,,
Reset_1,Fixture,,Y,,,,,Fixture_Reset_1,,,
Discharge_End_1,Power,,Y,,,,,Power_Discharge_End_1,,,
