TestName,ParameterName,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,Condition
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_0_HIGH,,1,1,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_2_HIGH,,1,1,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_3_HIGH,,1,1,,,
UnderVoltageWarning_Sera,GPIO_PMU_TO_SOC_TRIGGER_4_HIGH,,1,1,,,
UnderVoltageWarning_Simetra,Read_Test_mode,,0x01,0x01,,,
UnderVoltageWarning_Simetra,SIMETRA_UVWARN_L_LOW,,0,0,,,
UnderVoltageWarning_Simetra,SIMETRA_UVWARN_L_HIGH,,1,1,,,
SensorData_1,accel_selftest_x_pos,,9216,3072,,,
SensorData_1,accel_selftest_y_pos,,8192,2048,,,
SensorData_1,accel_selftest_z_pos,,8192,2048,,,
SensorData_1,accel_selftest_x_neg,,9216,3072,,,
SensorData_1,accel_selftest_y_neg,,8192,2048,,,
SensorData_1,accel_selftest_z_neg,,8192,2048,,,
SensorData_1,accel_selftest_x_symerr,,3840,0,,,
SensorData_1,accel_selftest_y_symerr,,3840,0,,,
SensorData_1,accel_selftest_z_symerr,,3840,0,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_average_x,g,0.118,-0.118,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_average_y,g,0.118,-0.118,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_average_z,g,1.1,0.9,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_std_x,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_std_y,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR100HZ_Zup_accel_only_std_z,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR100HZ_accel_only_odr,Hz,110,90,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_average_x,g,0.118,-0.118,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_average_y,g,0.118,-0.118,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_average_z,g,1.1,0.9,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_std_x,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_std_y,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_std_z,g-rms,0.05,0.00001,,,
SensorData_1,FS8g_ODR200HZ_Zup_accel_normal_odr,Hz,220,180,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_average_x,dps,25,-25,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_average_y,dps,25,-25,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_average_z,dps,25,-25,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_temp,oC,45,3,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_std_x,dps-rms,1,0.00001,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_std_y,dps-rms,1,0.00001,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_std_z,dps-rms,1,0.00001,,,
SensorData_2,FS2000dps_ODR200HZ_gyro_normal_odr,Hz,220,180,,,
SensorData_3,PR_Mfg_ID,,228,228,,,
SensorData_3,PR_Chip_ID,,40,40,,,
SensorData_3,PR_Rev_ID,,0,0,,,
SensorData_3,PR_Trim_Version,,1,1,,,
SensorData_3,Sample1000ms_PR_Pressure_Average,kPa,105,90,,,
SensorData_3,Sample1000ms_PR_Pressure_Std,Pa,5,0.01,,,
SensorData_3,Sample1000ms_PR_Pressure_odr,Hz,30,20,,,
SensorData_3,Sample1000ms_PR_Temperature_Average,oC,45,15,,,
SensorData_3,Sample1000ms_PR_Temperature_Std,oC,0.2,0,,,
Info_GBBTest_2,NAND_UNC,,0,0,,,
Info_GBBTest_2,NAND_PFAIL,,2,0,,,
Info_GBBTest_2,NAND_EFAIL,,2,0,,,
Info_GBBTest_2,NAND_PFAIL+NAND_EFAIL,,2,0,,,
Info_ANS_HealthTest,9_Smart_media_errors,,0,0,,,
Info_ANS_HealthTest,10_Smart_Critical_Warnings,,0,0,,,
Info_ANS_HealthTest,704_Number_of_Clog_double_UECC,,0,0,,,
Info_ANS_HealthTest,802_CLOG_programs_failed,,0,0,,,
Info_ANS_HealthTest,803_CLOG_read_failed,,0,0,,,
Info_ANS_HealthTest,804_CLOG_read_erased_page,,0,0,,,
Info_ANS_HealthTest,813_Raid_reconstruct_success_Internal,,0,0,,,
Info_ANS_HealthTest,815_Raid_reconstruct_succes_Host,,0,0,,,
Info_ANS_HealthTest,816_Raid_reconstruct_fail_Host,,0,0,,,
Info_ANS_HealthTest,1005_Avg_PE_cycle_over_MLC/TLC_bands,,75,0,,,
Info_ANS_HealthTest,1042_Avg_PE_cycles_over_SLC_bands,,1000,0,,,
Info_ANS_HealthTest,1917_RMX_failed_die,,0,0,,,
Info_ANS_HealthTest,108_Raid_LBA_missmatch,,0,0,,,
Info_ANS_HealthTest,814_Raid_reconstruct_fail_Internal,,0,0,,,
PCIeEnum_S5e,s5e_lane_0_eh_mv,mV,99999,70,,,
PCIeEnum_S5e,s5e_lane_0_ew_ps,UI,99999,19,,,
PCIeEnum_Ans3,ans3_lane_0_ew_ps,UI,99999,19,,,
PCIeEnum_Ans3,ans3_lane_0_eh_mv,mV,99999,70,,,
PCIeEnum_Wifi,PCIE0_lane_0_eh_mv,mV,99999,120,,,
PCIeEnum_Wifi,PCIE0_lane_0_ew_ps,UI,99999,64,,,
PCIeEnum_Baseband,PCIE1_lane_0_eh_mv,mV,99999,70,,,
PCIeEnum_Baseband,PCIE1_lane_0_ew_ps,UI,99999,19,,,
