TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT,NYQUIST_GROUP,NYQUIST_PROPOSED_RATE
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_2,,relay.relay,10000,PPBATT_VCC_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_2,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_2,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_2,connect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,DELAY_2000MS_After_Connect_Discharge_2,delay 2000ms,delay.delay,10000,2000,,ms,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_2,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT_2,,relay.relay,10000,PPBATT_VCC_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT_2,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT_2,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_Disable_2,disconnect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100


Power,VoltageCheck_Safety_VBAT4V3,UUT_UART_ENABLE,enable UUT uart,fixture.sendcmd,10000,uart pin contrl(UUT*enable),,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,Bellatrix_UART_ENABLE,enable UUT uart,fixture.sendcmd,10000,uart pin contrl(SBELLATRIX*enable),,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG,,relay.relay,10000,BATT_MODE_CTL,BIG,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_POWER_ON,battery power on,relay.relay,10000,BATT_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,DELAY_10MS_1,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,VBAT_SET_4V3,raising up the battery to 4.3v,powerboard.setbattvolt,10000,4.3,,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,DELAY_400MS,delay 400ms,delay.delay,10000,400,,ms,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_SMALL,,relay.relay,10000,BATT_MODE_CTL,SMALL,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,PPBATT_VCC_FB,measure_PPBATT_VCC_voltage_TP9344,dmm.dmm,10000,PPBATT_VCC,,mV,4250,4350,,,3,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT,reset current of battery,dmm.readsmallvolt,10000,BATT_CURRENT_SMALL,,mA,-3,10,,,3,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,DELAY_1000MS_1,delay 1000ms,delay.delay,10000,1000,,ms,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT_D1sec,reset current of battery,dmm.readsmallvolt,10000,BATT_CURRENT_SMALL,,mA,-3,10,,,3,Power_VoltageCheck_Safety_VBAT4V3,100
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG_1,,relay.relay,10000,BATT_MODE_CTL,BIG,,,,,,,Power_VoltageCheck_Safety_VBAT4V3,100


Power,Discharge_BatteryFloat,BATT_POWER_OFF,battery power off,relay.relay,10000,BATT_OUTPUT_CTL,OFF,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,VBAT_SET_0V,raising up the battery to 0v,powerboard.setbattvolt,10000,0,,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,DELAY_10MS_2,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,ELOAD_INPUT1_TO_PPVCC_MAIN,PPVCC_MAIN connected to CC_load,relay.relay,10000,ELOAD_INPUT1_TO,PPVCC_MAIN,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,Enable_Eload1_After_Connect,enable eload1,fixture.sendcmd,10000,eload enable(1),,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,Set_Eload1_200mA,cc load set to 200mA,powerboard.seteccload,10000,eload set(1*cc*200),,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,Delay_1500MS_4,delay 1500ms,delay.delay,20000,1500,,ms,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,Set_Eload1_0mA,cc load set to 0mA,fixture.sendcmd,10000,eload set(1*cc*0),,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,Eload1_Disable,disable eload,fixture.sendcmd,10000,eload disable(1),,,,,,,,Power_Discharge_BatteryFloat,100
Power,Discharge_BatteryFloat,ELOAD_INPUT1_DISCONNECT_PPVCC_MAIN,PPVCC_MAIN disconnected to CC_load,relay.relay,10000,ELOAD_INPUT1_TO,DISCONNECT,,,,,,,Power_Discharge_BatteryFloat,100

Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_ON,battery power on,relay.relay,10000,BATT_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBAT0V4,100
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V4,set VBAT to 0.4V,powerboard.setbattvolt,10000,0.4,,,,,,,,Power_VoltageCheck_Safety_VBAT0V4,100
Power,VoltageCheck_Safety_VBAT0V4,Delay_2000MS_4,delay 2000ms,delay.delay,20000,2000,,ms,,,,,,Power_VoltageCheck_Safety_VBAT0V4,100
Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_OFF,battery power off,relay.relay,10000,BATT_OUTPUT_CTL,OFF,,,,,,,Power_VoltageCheck_Safety_VBAT0V4,100
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V,set VBAT to 0V,powerboard.setbattvolt,10000,0,,,,,,,,Power_VoltageCheck_Safety_VBAT0V4,100

Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_BOARD,connected PP5V0 TO VMD,relay.relay,10000,PP_5V0_VDM,CONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Set_LDO_PP_5V0_ON,set fixture power board VBUS output 5V,powerboard.setvolt_PP5V0,10000,5,,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Change_VDM_PDO_TO_2,Change_VDM_PDO_Count_TO_2,fixture.sendcmd,10000,change source pdo count(1),ACK,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,5V_To_VDM_EXT,Change_VDM_PDO1_TO_PP_HEV,fixture.sendcmd,10000,change tx source voltage(1*5000*250*PP_HVE),ACK,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,ACE_SBU_Conn_SWD,ACE_SBU1/2_connected_to_xavier_SWD,relay.relay,10000,ACE_SBU_TO_ZYNQ_SWD,NOCROSS,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Power_To_VDM,VBUS_power_connected_to_VDM_PP_EXT,relay.relay,10000,PPVBUS_USB_PWR,TO_PP_EXT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_1,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_ON,USB_power_output_enable,relay.relay,10000,VBUS_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_3,delay_10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_VDM,PPVBUS_USB_EMI_connected_to_VDM_VBUS_power,relay.relay,10000,VDM_VBUS_TO_PPVBUS_USB_EMI,CONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_5V,USB_output_5V,powerboard.setusbmainvolt,10000,5,,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_ACE_CC1,VDM_CC1_connected_to_ACE_CC1,relay.relay,10000,VDM_CC1,TO_ACE_CC1,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,DELAY_2000MS,delay_2000ms,delay.delay,10000,2000,,ms,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_FB_DEBUG_1,measure_PPVBUS_USB_EMI_voltage_TP93EB,powerboard.vbus_check,10000,5,,mV,4900,5100,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_100_DEBUG,set fixture power board measure instrument OPA gain for PPVCC_MAIN issue Debug,dmm.set_ad8253_gain,10000,100,target_current,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,IBUS_DEBUG,measure VBUS current for PPVCC_MAIN issue Debug,dmm.dmm,10000,USB_TARGET_CURRENT,5V,mA,0,400,,,3,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_10_DEBUG,set fixture power board measure instrument OPA gain for PPVCC_MAIN issue Debug,dmm.set_ad8253_gain,10000,10,target_current,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_0V,USB_output_0V,powerboard.setusbmainvolt,10000,0,,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_DISCONNECT,VDM_CC1_Disconnected_to_ACE_CC1,relay.relay,10000,VDM_CC1,DISCONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_OFF,USB_power_output_disable,relay.relay,10000,VBUS_OUTPUT_CTL,OFF,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Change_PDO_Count_TO_5,Change_PDO_Count_TO_5,fixture.sendcmd,10000,change low hearder(region0),ACK,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Disable_USB_cable,Disable_USB_communication_capability,fixture.sendcmd,10000,tps write register by addr(0x32*PDO1: Max Voltage*0x02),,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_DISCONNECT,PPVBUS_USB_EMI_Disconnected_to_VDM_VBUS_power,relay.relay,10000,VDM_VBUS_TO_PPVBUS_USB_EMI,DISCONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,Power_To_DISCONNECT,VBUS_power_DISconnected_to_VDM_PP_EXT,relay.relay,10000,PPVBUS_USB_PWR,DISCONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_DISCONNECT,Disconnected PP5V0 TO VMD,relay.relay,10000,PP_5V0_VDM,DISCONNECT,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100

Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_3,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_3,,relay.relay,10000,PPBATT_VCC_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_3,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_3,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_3,connect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,CONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,DELAY_2000MS_After_Connect_Discharge_3,delay 2000ms,delay.delay,10000,2000,,ms,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_3,,relay.relay,10000,PPVBUS_USB_EMI_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT_3,,relay.relay,10000,PPBATT_VCC_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT_3,,relay.relay,10000,PPVCC_MAIN_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT_3,,relay.relay,10000,PPVCC_HIGH_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100
Power,Discharge_Initial,SPK_BST_Discharge_Disable_3,disconnect 200ohm Res to PPV_BST_AUDIO,relay.relay,10000,PPV_BST_AUDIO_DISCHARGE,DISCONNECT,,,,,,,Power_Discharge_Initial,100

Power,VoltageCheck_Safety_VBUS5V,BATT_POWER_ON,battery power on,relay.relay,10000,BATT_OUTPUT_CTL,ON,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_2,delay 10ms,delay.delay,10000,10,,ms,,,,,,Power_VoltageCheck_Safety_VBUS5V,100
Power,VoltageCheck_Safety_VBUS5V,VBAT_SET_4V3,raising up the battery to 4.3v,powerboard.setbattvolt,10000,4.3,,,,,,,,Power_VoltageCheck_Safety_VBUS5V,100



Power,On_Seq,ACE_SBU_Conn_SWD,ACE_SBU1/2_connected_to_xavier_SWD,relay.relay,10000,ACE_SBU_TO_ZYNQ_SWD,NOCROSS,,,,,,,Power_On_Seq,100
Power,On_Seq,Power_To_VDM,VBUS_power_connected_to_VDM_PP_EXT,relay.relay,10000,PPVBUS_USB_PWR,TO_PP_EXT,,,,,,,Power_On_Seq,100
Power,On_Seq,DELAY_200MS_2,delay 200ms,delay.delay,10000,200,,ms,,,,,,Power_On_Seq,100
Power,On_Seq,PP5V0_TO_VDM_BOARD,connected PP5V0 TO VMD,relay.relay,10000,PP_5V0_VDM,CONNECT,,,,,,,Power_On_Seq,100
Power,On_Seq,Set_LDO_PP_5V0_ON,set fixture power board VBUS output 5V,powerboard.setvolt_PP5V0,10000,5,,,,,,,,Power_On_Seq,100
Power,On_Seq,Change_VDM_PDO_TO_2,Change_VDM_PDO_Count_TO_2,fixture.sendcmd,10000,change source pdo count(2),ACK,,,,,,,Power_On_Seq,100
